date,open,high,low,close,adj_close,volume
2015-01-01,101.13,101.65,100.91,100.93,101.08,4378831
2015-01-02,100.68,101.88,100.49,100.95,101.07,2439054
2015-01-05,100.44,102.22,99.29,100.97,101.02,1905116
2015-01-06,102.43,102.44,102.23,102.24,102.23,2571130
2015-01-07,102.29,102.52,101.55,102.05,102.01,2750929
2015-01-08,102.36,103.29,101.72,102.35,102.38,3190256
2015-01-09,103.97,106.91,103.7,104.85,105.01,3906349
2015-01-12,104.04,105.11,103.82,104.21,104.23,3811565
2015-01-13,103.98,104.41,103.15,103.94,104.17,1489554
2015-01-14,104.71,105.13,104.01,104.65,104.56,3513564
2015-01-15,104.75,105.35,104.67,105.07,105.07,2427397
2015-01-16,103.9,104.86,103.63,103.92,103.88,4292268
2015-01-19,104.19,106.0,103.83,104.6,104.49,4240113
2015-01-20,101.92,102.43,101.86,102.02,102.01,1364793
2015-01-21,100.86,101.92,100.41,101.15,101.2,4416046
2015-01-22,99.8,100.05,99.14,99.51,99.56,4715836
2015-01-23,98.15,98.46,97.75,98.3,98.52,1650806
2015-01-26,99.6,101.66,98.0,99.99,100.04,2723034
2015-01-27,98.34,99.73,96.87,98.12,98.23,3431878
2015-01-28,96.35,97.56,95.46,96.36,96.36,1135258
2015-01-29,97.8,97.98,97.73,97.73,97.89,4686738
2015-01-30,97.96,98.8,97.31,98.55,98.79,3467453
2015-02-02,98.11,98.22,97.79,97.95,98.0,1595792
2015-02-03,96.56,97.4,94.55,96.5,96.41,2159336
2015-02-04,96.07,96.82,95.76,95.96,95.91,2031306
2015-02-05,96.87,97.53,96.51,96.77,96.8,4710468
2015-02-06,95.41,96.38,94.87,95.41,95.46,4136065
2015-02-09,95.34,95.36,94.34,94.84,94.91,4436142
2015-02-10,95.12,95.72,94.26,94.98,95.02,3800823
2015-02-11,93.84,95.4,92.63,93.82,93.82,4666699
2015-02-12,93.95,94.77,93.07,93.77,93.71,2351849
2015-02-13,96.51,96.93,93.66,95.93,95.97,2808745
2015-02-16,95.48,96.45,94.94,95.87,96.05,2054963
2015-02-17,94.11,94.65,92.06,93.8,93.89,3645834
2015-02-18,95.03,95.5,94.88,95.24,95.29,3436123
2015-02-19,93.59,95.07,92.18,93.63,93.73,1373254
2015-02-20,93.95,94.77,93.31,93.91,93.88,4044749
2015-02-23,92.2,93.33,91.74,92.23,92.19,2825100
2015-02-24,90.35,90.77,89.34,90.23,90.16,4656644
2015-02-25,91.26,92.0,90.4,90.99,90.98,1187708
2015-02-26,92.44,94.07,91.63,92.52,92.48,3558514
2015-02-27,91.71,93.73,90.56,92.23,92.34,1035241
2015-03-02,92.81,94.06,92.08,93.36,93.32,4174065
2015-03-03,92.0,92.78,90.48,91.83,91.76,3984576
2015-03-04,90.78,91.06,88.88,90.46,90.64,4674820
2015-03-05,89.22,89.64,86.36,88.36,88.32,4048714
2015-03-06,89.52,90.71,88.61,89.34,89.36,3566131
2015-03-09,89.6,90.42,86.78,89.05,89.09,1057450
2015-03-10,90.93,92.03,90.58,91.29,91.19,1969263
2015-03-11,88.81,89.36,88.22,88.81,88.92,2108105
2015-03-12,89.33,90.66,89.0,89.61,89.67,4792782
2015-03-13,88.08,88.8,87.5,88.32,88.45,1817766
2015-03-16,87.54,88.83,87.14,87.64,87.58,2505326
2015-03-17,88.9,91.49,87.58,89.17,89.18,1587740
2015-03-18,89.16,90.36,88.92,89.28,89.28,1771736
2015-03-19,90.79,91.49,89.51,90.62,90.64,2448303
2015-03-20,89.04,89.45,88.98,88.94,88.81,2744901
2015-03-23,89.84,90.62,89.7,89.92,89.93,3990602
2015-03-24,89.13,90.6,88.65,89.32,89.19,4709456
2015-03-25,91.0,92.26,89.83,90.98,91.01,1325262
2015-03-26,90.55,91.33,88.9,89.96,89.77,4230991
2015-03-27,89.71,89.79,89.12,89.56,89.39,3223927
2015-03-30,89.24,89.88,88.97,89.61,89.69,2097793
2015-03-31,87.88,88.54,87.72,88.07,88.03,4045795
2015-04-01,88.3,89.32,87.24,88.59,88.51,1740690
2015-04-02,89.42,90.02,88.22,89.49,89.6,2117093
2015-04-03,88.87,90.49,87.86,89.23,89.26,2192433
2015-04-06,91.03,91.44,89.09,90.54,90.62,4200468
2015-04-07,90.43,91.65,89.88,90.66,90.64,3046282
2015-04-08,90.62,91.98,89.29,90.78,91.02,1625407
2015-04-09,90.8,91.4,90.68,90.88,90.83,1725992
2015-04-10,92.81,93.72,91.47,92.29,92.45,3635390
2015-04-13,92.28,93.86,91.8,92.74,92.74,3555010
2015-04-14,93.83,94.29,92.35,93.26,93.11,2755105
2015-04-15,91.74,93.24,90.62,91.68,91.72,2645073
2015-04-16,92.37,93.29,91.98,92.54,92.57,4213006
2015-04-17,92.45,93.77,91.27,92.48,92.38,1038488
2015-04-20,92.22,92.39,91.11,91.63,91.54,1298421
2015-04-21,91.31,91.39,91.24,91.35,91.35,2224689
2015-04-22,90.47,91.23,90.39,90.89,90.92,1776434
2015-04-23,90.18,90.88,89.9,90.09,89.87,2838542
2015-04-24,89.72,90.0,88.95,89.81,89.91,2653085
2015-04-27,91.59,91.79,90.8,91.08,91.04,1201744
2015-04-28,91.17,91.48,90.84,91.59,91.46,4216849
2015-04-29,90.31,91.17,89.75,90.33,90.41,3583262
2015-04-30,90.05,90.6,89.83,90.19,90.19,2571697
2015-05-01,91.51,91.77,90.97,91.04,91.15,3433386
2015-05-04,91.66,92.75,91.33,91.9,91.94,1109777
2015-05-05,89.94,90.07,89.94,90.03,90.03,1973814
2015-05-06,91.42,92.27,91.14,91.59,91.58,2574498
2015-05-07,91.87,92.63,91.41,91.86,91.9,4424780
2015-05-08,92.37,93.35,91.68,92.27,92.24,3511678
2015-05-11,92.02,92.29,91.55,92.18,92.1,3439949
2015-05-12,92.15,93.38,90.84,92.13,92.19,1853690
2015-05-13,91.26,92.07,90.09,91.45,91.44,4350947
2015-05-14,89.41,89.6,88.16,88.95,88.95,3814084
2015-05-15,90.11,90.76,88.82,89.81,89.91,2300493
2015-05-18,89.92,90.18,89.6,90.06,90.05,1855832
2015-05-19,89.86,91.37,89.26,89.84,89.84,4343403
2015-05-20,89.44,89.66,88.53,88.97,88.92,3319736
2015-05-21,88.98,89.18,88.84,89.22,89.26,3332966
2015-05-22,87.37,87.91,87.06,87.21,87.24,1116107
2015-05-25,88.2,88.43,86.72,87.42,87.5,3038887
2015-05-26,86.88,88.08,86.28,87.45,87.4,4013052
2015-05-27,85.77,86.86,84.43,85.41,85.37,3599997
2015-05-28,87.06,87.27,86.89,87.11,87.18,2781300
2015-05-29,87.71,87.91,86.35,87.34,87.36,1636724
2015-06-01,89.25,89.26,89.06,88.63,88.55,1293275
2015-06-02,89.64,90.16,88.79,89.47,89.59,4559330
2015-06-03,88.82,89.04,86.61,88.25,88.1,2491573
2015-06-04,87.26,87.74,84.85,86.69,86.76,1323904
2015-06-05,88.15,89.9,86.66,88.42,88.31,1504962
2015-06-08,86.98,87.52,86.7,86.99,87.15,2378090
2015-06-09,89.17,89.42,87.2,88.74,88.6,3489137
2015-06-10,90.25,90.5,89.96,90.1,90.2,1054470
2015-06-11,90.79,91.98,89.35,90.42,90.42,4003272
2015-06-12,89.78,90.55,89.33,89.62,89.59,1315427
2015-06-15,89.11,89.61,88.7,88.85,88.86,4128086
2015-06-16,90.42,90.93,89.48,90.48,90.53,1654551
2015-06-17,90.13,90.93,89.01,89.72,89.64,2563209
2015-06-18,91.05,91.4,90.24,90.95,90.88,1133425
2015-06-19,91.0,91.77,90.02,90.88,90.93,3373174
2015-06-22,92.63,93.68,92.62,92.95,92.8,4525615
2015-06-23,90.66,91.09,89.25,90.61,90.55,3173820
2015-06-24,90.53,92.23,89.55,90.68,90.96,4678219
2015-06-25,94.15,94.71,93.88,94.37,94.28,1534610
2015-06-26,91.9,92.23,90.51,91.56,91.66,1863263
2015-06-29,91.44,93.11,90.08,91.51,91.46,3549143
2015-06-30,91.87,92.15,89.77,91.73,91.77,4181653
2015-07-01,91.98,94.18,91.93,92.41,92.47,2562562
2015-07-02,90.08,92.07,87.92,90.28,90.38,2595111
2015-07-03,89.92,89.96,89.83,90.04,90.02,4777946
2015-07-06,88.89,89.5,88.51,88.87,89.04,2983420
2015-07-07,89.15,89.53,88.52,89.39,89.34,4362578
2015-07-08,88.49,88.66,86.85,87.63,87.65,3478792
2015-07-09,88.49,89.66,87.71,88.52,88.54,3250746
2015-07-10,88.83,89.37,88.09,88.52,88.42,1175666
2015-07-13,88.77,89.67,88.21,88.97,88.94,3961215
2015-07-14,88.89,90.52,88.43,89.06,89.07,1832767
2015-07-15,88.43,89.33,87.4,88.47,88.44,3875632
2015-07-16,88.36,90.17,87.98,88.8,89.02,3596556
2015-07-17,90.65,90.92,90.24,90.51,90.43,2399681
2015-07-20,88.95,89.0,87.82,88.67,88.77,3131875
2015-07-21,88.11,88.23,86.52,87.57,87.64,3041820
2015-07-22,88.53,88.59,87.89,88.12,88.12,4675007
2015-07-23,89.35,90.28,88.7,90.0,89.93,2538954
2015-07-24,87.93,88.12,87.42,87.72,87.66,1954337
2015-07-27,86.93,88.43,86.85,86.96,86.91,4292867
2015-07-28,86.97,88.34,86.65,87.15,87.0,1013763
2015-07-29,87.09,87.39,86.1,86.6,86.52,1445171
2015-07-30,88.21,88.7,87.49,88.3,88.17,1569151
2015-07-31,88.56,90.15,88.48,89.13,89.25,2328128
2015-08-03,87.17,88.41,85.45,87.09,87.14,2729112
2015-08-04,88.25,89.37,87.32,88.24,88.31,3263321
2015-08-05,87.78,88.87,87.27,87.92,87.97,3280074
2015-08-06,87.51,87.57,87.43,87.43,87.44,1184918
2015-08-07,89.65,90.09,87.77,89.15,89.28,2162753
2015-08-10,89.7,90.44,89.46,90.04,89.98,3788306
2015-08-11,88.75,91.33,87.91,89.4,89.41,3815836
2015-08-12,88.93,91.17,88.7,89.7,89.77,3449063
2015-08-13,88.11,88.72,87.76,88.3,88.18,1975990
2015-08-14,88.89,89.45,88.57,89.15,89.42,3884595
2015-08-17,89.78,90.37,89.2,89.84,89.84,3775939
2015-08-18,89.25,89.87,88.04,89.12,89.13,2611256
2015-08-19,89.52,90.43,89.5,90.06,90.17,4400783
2015-08-20,90.46,92.15,88.83,90.35,90.43,3680430
2015-08-21,91.39,92.23,90.48,91.2,91.2,2492644
2015-08-24,93.3,93.32,92.59,92.84,92.85,3962364
2015-08-25,93.06,94.41,90.85,92.81,92.67,3572506
2015-08-26,92.4,93.91,92.07,92.42,92.37,2027588
2015-08-27,91.78,93.11,90.95,92.04,92.09,2269646
2015-08-28,91.16,93.34,89.51,91.32,91.36,4826390
2015-08-31,90.32,91.02,88.24,90.09,90.2,3120688
2015-09-01,90.39,90.55,90.35,90.3,90.28,3971330
2015-09-02,90.74,90.85,90.24,90.57,90.44,2316305
2015-09-03,91.85,92.0,91.68,92.07,92.16,4063786
2015-09-04,91.93,93.34,91.21,92.44,92.57,3340633
2015-09-07,93.17,93.98,91.9,92.88,92.96,3552325
2015-09-08,92.65,92.89,92.08,92.57,92.56,1581498
2015-09-09,95.79,96.52,95.68,96.06,96.16,2262379
2015-09-10,96.73,98.62,95.23,96.94,97.27,1211445
2015-09-11,96.08,96.39,95.77,96.03,96.04,3340921
2015-09-14,94.43,95.62,93.4,94.74,94.62,3495824
2015-09-15,94.99,95.39,94.7,94.65,94.59,2433085
2015-09-16,94.51,95.04,94.08,94.46,94.52,1774957
2015-09-17,95.67,95.76,95.56,95.75,95.6,3282085
2015-09-18,95.73,96.59,95.68,96.09,96.11,4051945
2015-09-21,96.37,96.38,95.99,96.52,96.56,2582639
2015-09-22,94.35,95.88,93.0,94.65,94.79,1720241
2015-09-23,93.54,94.69,92.81,93.63,93.75,3618778
2015-09-24,93.43,93.63,92.69,93.51,93.59,1800531
2015-09-25,94.23,95.34,92.1,93.75,93.55,1364485
2015-09-28,95.69,96.22,94.72,95.73,95.82,3401138
2015-09-29,93.28,93.8,90.89,93.02,93.08,3864802
2015-09-30,92.77,93.54,92.21,93.08,93.11,3940747
2015-10-01,93.61,94.49,91.8,93.32,93.16,2261999
2015-10-02,91.89,92.6,90.94,91.74,91.67,2257410
2015-10-05,92.89,93.53,89.75,91.75,91.65,4268591
2015-10-06,92.57,92.95,92.44,92.72,92.53,3096323
2015-10-07,92.3,94.28,91.16,92.36,92.36,3454904
2015-10-08,91.93,92.5,91.87,91.94,91.87,1992179
2015-10-09,92.71,93.89,91.08,92.32,92.56,2013100
2015-10-12,93.53,93.56,93.45,93.42,93.41,3730918
